Foot length,Ball Girth circumference,Foot breadth,Instep circumference,Heel breadth,Instep length,Fibulare Instep length,Height of Top of Ball Girth,Height of Instep,Long Heel Girth,Instep Width
234.4,251.9,104.2,257.4,64.9,179.2,156.3,46.3,72.3,333,91
239.8,230.7,95,226.3,61.2,170.5,143.7,40.5,58.6,318,84.2
234.9,231.4,95.2,227.7,61.1,167.9,142.9,42.8,64.3,317.7,80.4
233.9,227.8,94.9,232.2,63.7,174.5,144.7,38.2,59.3,316.1,85.5
235.2,232.3,96.2,234.4,60.5,172.4,144.7,39.4,59.8,317.7,87.1
242.7,234.9,95.6,241.4,62.5,174.8,150.2,43.1,70,335.8,82.3
240.4,237.5,96.9,241.1,63.3,170.9,149.1,43.6,68.1,334.2,84
241.2,218.8,92.8,220.9,61.9,182.2,157.3,33.4,56.9,319.8,81.9
243.1,222,93.6,222.3,63.7,182,158.2,34.8,57.6,323.6,82.5
248.1,234.4,96.8,236.6,62.2,185.5,155.7,40.6,63,331.4,85.6
245.9,229.1,93.9,242.2,61.6,183.8,161.2,40,65.7,332.9,86.9
249.6,238.3,98.4,251.4,67.6,188,163.7,40,66.9,343.5,89.8
246.3,228,93.6,244.3,65.8,185.8,166,39.8,68.6,339,86
246,261.7,109.8,267.3,70.8,181.9,150.4,43.6,69.6,350,98.7
246.5,266.4,111.8,270.6,68.7,177.6,152.2,44.4,70.1,348.9,100.4
243.8,223.3,92.1,225,59.1,178,156.7,39.7,64.6,326.4,78.6
247.6,222.2,90.6,224.7,61.7,180.4,159.1,39,62.3,330.1,81.3
245.6,252.7,103.2,256.9,65.8,177.9,154,46.3,63.7,336.8,95.7
247.9,254.9,104.2,260.5,65.8,179.1,154.9,46.1,65.8,338.6,95.3
250.1,232.3,95.4,238,64.3,188.6,165.8,39.2,61.2,331.5,87.4
248.8,233.4,95.3,238.2,64.9,183.9,162.5,41.3,62.9,329.9,87
250.4,237.5,97.8,226.2,56.4,177.8,151.1,42.1,63.9,330.4,81
249.7,239.4,97.8,229.7,56.5,177.4,152.9,43.8,65.6,329.9,81
247.7,231.6,94.4,231.4,64.9,179.9,159.1,41.5,68.1,337.5,78.8
251.2,235.7,96.9,231.9,63.3,183.5,158,42,67.6,335.6,79.5
252,235.8,98.3,243,61.7,183.6,169.6,39.3,67.6,338,85.9
254,238.8,99.6,243.4,61,184.6,168.9,39.3,64.5,330.2,88.5
